,Unnamed: 0,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
15,15,0020-INWCK,0,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),95.75,6849.4,Female,0,1,1,71,1,Yes
16,16,0020-JDNXP,0,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,61.25,1993.2,Female,0,1,1,34,0,No phone service
17,17,0021-IKXGC,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1,Female,1,0,0,1,1,Yes
18,18,0022-TCJCI,1,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),62.7,2791.5,Male,1,0,0,45,1,No
19,19,0023-HGHWL,1,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,25.1,Male,1,0,0,1,0,No phone service
20,20,0023-UYUPN,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,Female,1,1,0,50,1,Yes
21,21,0023-XUOPT,1,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,1215.6,Female,0,1,0,13,1,Yes
22,22,0027-KWYKW,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,1849.95,Female,0,1,1,23,1,Yes
23,23,0030-FNXPP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,Female,0,0,0,3,1,No
24,24,0031-PVLZI,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,Female,0,1,1,4,1,No
25,25,0032-PGELS,1,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,30.5,Female,0,1,1,1,0,No phone service
26,26,0036-IHMOT,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,5656.75,Female,0,1,1,55,1,No
27,27,0040-HALCW,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,Male,0,1,1,54,1,No
28,28,0042-JVWOJ,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,Male,0,0,0,26,1,No
29,29,0042-RLHYP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,Female,0,1,1,69,1,No
30,30,0047-ZHDTW,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.0,929.3,Female,0,0,0,11,1,Yes
31,31,0048-LUMLS,0,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55,Male,0,1,1,37,1,No
32,32,0048-PIHNL,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,Female,0,1,0,49,1,No
33,33,0052-DCKON,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7942.15,Male,0,1,0,66,1,Yes
34,34,0052-YNYOT,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,Female,0,0,0,67,1,No
35,35,0056-EPFBG,0,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,825.4,Male,0,1,1,20,0,No phone service
36,36,0057-QBUQH,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,Female,0,0,1,43,1,Yes
37,37,0058-EVZWM,0,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,Female,0,1,0,55,1,Yes
38,38,0060-FUALY,0,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,5597.65,Female,0,1,0,59,1,Yes
39,39,0064-SUDOG,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,Female,0,1,1,12,1,No
40,40,0064-YIJGF,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,1929,Male,0,1,1,27,1,Yes
41,41,0067-DKWBL,1,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,91.1,Male,1,0,0,2,1,No
42,42,0068-FIGTF,0,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2078.95,Female,0,0,0,27,1,No
43,43,0071-NDAFP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,Male,0,1,1,25,1,Yes
44,44,0074-HDKDG,0,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,1611,Male,0,1,1,25,1,No
45,45,0076-LVEPS,0,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,1242.45,Male,0,0,1,29,0,No phone service
46,46,0078-XZMHT,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,Male,0,1,0,72,1,Yes
47,47,0080-EMYVY,0,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,727.85,Female,0,0,0,14,1,No
48,48,0080-OROZO,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,3532,Female,0,0,0,35,1,No
49,49,0082-LDZUE,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,44.3,Male,0,0,0,1,1,No
50,50,0082-OQIQY,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,2607.6,Male,0,0,0,29,1,No
51,51,0083-PIVIK,0,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,5567.55,Male,0,0,0,64,1,Yes
52,52,0089-IIQKO,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3767.4,Female,0,1,1,39,1,Yes
53,53,0093-EXYQL,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6,Female,1,0,0,40,1,No
54,54,0093-XWZFY,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,4036.85,Male,0,0,0,40,1,Yes
55,55,0094-OIFMO,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,Female,1,0,0,11,1,No
56,56,0096-BXERS,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,314.55,Female,0,1,0,6,1,Yes
57,57,0096-FCPUF,0,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,1888.45,Male,0,0,0,30,1,Yes
58,58,0098-BOWSO,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,Male,0,0,0,27,1,No
59,59,0100-DUVFC,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,7308.95,Male,1,1,0,70,1,Yes
60,60,0103-CSITQ,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6252.7,Female,0,1,0,57,1,Yes
61,61,0104-PPXDV,0,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,2878.55,Male,0,1,0,58,1,No
62,62,0106-GHRQR,0,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,Male,0,0,0,16,1,Yes
63,63,0106-UGRDO,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8182.85,Female,0,1,0,69,1,Yes
64,64,0107-WESLM,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,Male,0,0,0,1,1,No
65,65,0107-YHINA,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75,Male,0,0,1,1,1,Yes
66,66,0111-KLBQG,0,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,2861.45,Male,1,1,1,32,1,No
67,67,0112-QAWRZ,0,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,Male,0,1,1,16,1,Yes
68,68,0112-QWPNC,1,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,4059.35,Male,0,1,0,49,1,Yes
69,69,0114-IGABW,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,Female,0,1,0,71,0,No phone service
70,70,0114-PEGZZ,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,3645.5,Female,0,0,0,33,1,Yes
71,71,0114-RSRRW,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,Female,0,1,0,10,1,No
72,72,0115-TFERT,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,2317.1,Male,0,1,0,21,1,Yes
73,73,0117-LFRMW,1,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,Male,0,1,1,37,0,No phone service
74,74,0118-JPNOY,0,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2193.65,Female,1,0,0,26,1,No
75,75,0120-YZLQA,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,1355.1,Male,0,0,0,71,1,No
76,76,0121-SNYRK,0,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1748.9,Male,0,0,0,50,0,No phone service
77,77,0122-OAHPZ,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,511.25,Female,0,0,0,7,1,Yes
78,78,0123-CRBRT,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,5526.75,Female,0,1,1,61,1,Yes
79,79,0125-LZQXK,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,1553.95,Male,0,0,0,15,1,No
80,80,0128-MKWSG,0,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,1147,Female,0,0,1,26,0,No phone service
81,81,0129-KPTWJ,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,6747.35,Male,0,1,0,72,1,No
82,82,0129-QMPDR,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,Male,0,1,1,44,1,No
83,83,0130-SXOUN,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),89.4,5976.9,Male,0,0,0,66,1,Yes
84,84,0133-BMFZO,1,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,86.25,181.65,Female,0,0,0,2,1,No
85,85,0134-XWXCE,0,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),74.85,3268.05,Female,1,0,0,44,1,No
86,86,0135-NMXAP,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,Female,0,0,0,12,1,Yes
87,87,0136-IFMYD,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,7634.25,Male,1,1,0,69,1,Yes
88,88,0137-OCGAB,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.2,80.2,Female,0,0,0,1,1,Yes
89,89,0137-UDEUO,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,Female,0,0,0,3,1,No
90,90,0139-IVFJG,0,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,190.5,Female,0,1,0,2,1,No
91,91,0141-YEAYS,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,Female,1,0,0,27,1,Yes
92,92,0142-GVYSN,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,Male,0,0,0,26,1,No
93,93,0147-ESWWR,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,3949.15,Female,1,1,0,39,1,Yes
94,94,0148-DCDOS,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,Male,0,0,0,25,1,Yes
95,95,0151-ONTOV,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,70.9,Female,0,0,0,1,1,No
96,96,0154-QYHJU,1,DSL,Yes,Yes,No,Yes,No,No,One year,1,Electronic check,58.75,1696.2,Male,0,0,0,29,1,No
97,97,0156-FVPTA,1,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,54.2,1152.7,Male,0,1,0,22,1,No
98,98,0162-RZGMZ,1,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.9,287.85,Female,1,0,0,5,1,No
99,99,0164-APGRB,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,8496.7,Female,0,0,0,72,1,Yes
100,100,0164-XAIRP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2,Female,0,0,0,24,1,No
101,101,0168-XZKBB,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,1564.4,Female,0,1,0,19,1,Yes
102,102,0174-QRVVY,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,1847.55,Male,0,1,1,71,1,Yes
103,103,0177-PXBAT,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,Male,1,1,0,33,1,Yes
104,104,0178-CIIKR,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58,Female,0,0,0,3,1,No
105,105,0178-SZBHO,0,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,87.2,4017.45,Male,0,1,1,47,1,Yes
106,106,0181-RITDD,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,108.15,6825.65,Male,0,1,1,62,1,No
107,107,0186-CAERR,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,Male,0,0,0,71,1,Yes
108,108,0187-QSXOE,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,605.45,Male,1,1,0,7,1,No
109,109,0187-WZNAB,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.4,1972.35,Female,0,1,1,27,1,No
110,110,0188-GWFLE,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,Male,0,0,0,2,1,No
111,111,0191-EQUUH,0,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),35.05,844.45,Female,0,0,1,25,0,No phone service
112,112,0191-ZHSKZ,0,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,Male,1,0,0,30,1,No
113,113,0193-ESZXP,1,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.5,6205.5,Female,1,1,0,58,1,No
114,114,0195-IESCP,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,855.3,Male,0,1,0,10,1,Yes
115,115,0196-JTUQI,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,633.85,Female,0,0,0,9,1,Yes
116,116,0196-VULGZ,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.35,474.9,Female,1,1,0,6,1,Yes
117,117,0197-PNKNK,0,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,5848.6,Female,0,1,1,69,1,Yes
118,118,0201-MIBOL,0,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,6471.85,Female,1,0,0,66,1,Yes
119,119,0201-OAMXR,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,8127.6,Female,0,0,0,70,1,Yes
120,120,0203-HHYIJ,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,Male,0,0,0,25,1,Yes
121,121,0206-OYVOC,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,Female,0,1,1,46,1,No
122,122,0206-TBWLC,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,6049.5,Female,0,1,0,54,1,Yes
123,123,0207-MDKNV,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75,Female,0,0,0,15,1,No
124,124,0208-BPQEJ,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,198.1,Female,0,1,1,12,1,No
125,125,0212-ISBBF,0,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.35,1098.85,Female,0,0,0,22,0,No phone service
126,126,0214-JHPFW,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,4039.3,Female,0,1,0,70,0,No phone service
127,127,0215-BQKGS,0,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,Male,0,0,0,30,1,No
128,128,0218-QNVAS,0,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,Male,0,1,1,71,1,Yes
129,129,0219-QAERP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,Male,0,1,0,30,1,No
130,130,0219-YTZUE,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,Male,0,1,1,4,1,Yes
131,131,0220-EBGCE,1,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,167.3,Male,0,0,0,2,1,No
132,132,0221-NAUXK,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,219.5,Male,0,0,1,10,1,No
133,133,0221-WMXNQ,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,273.4,Male,1,0,0,4,1,No
134,134,0222-CNVPT,0,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,2555.05,Male,1,0,0,52,0,No phone service
135,135,0224-HJAPT,1,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,47.15,223.15,Male,0,0,0,5,1,Yes
136,136,0224-NIJLP,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5,Male,0,1,1,8,1,No
137,137,0224-RLWWD,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,89.3,Female,1,0,0,2,1,No
138,138,0225-ZORZP,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,84.3,235.05,Male,0,0,0,3,1,No
139,139,0228-MAUWC,0,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,59.55,1144.6,Male,0,0,0,19,1,Yes
140,140,0229-LFJAF,0,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.65,4908.25,Male,0,0,0,72,1,Yes
141,141,0230-UBYPQ,0,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),36.1,2298.9,Male,1,1,0,63,0,No phone service
142,142,0230-WEQUW,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,3789.2,Male,0,1,0,66,0,No phone service
143,143,0231-LXVAP,1,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,75.9,Male,0,0,0,1,1,No
144,144,0233-FTHAV,0,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),79.2,4765,Female,0,0,0,60,1,Yes
145,145,0234-TEVTT,0,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),45.0,2196.3,Female,0,1,1,48,0,No phone service
146,146,0235-KGSLC,1,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,85.55,Female,0,0,0,1,1,No
147,147,0236-HFWSV,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.35,1444.65,Male,0,0,0,15,1,Yes
148,148,0237-YFUTL,0,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,Female,0,1,0,50,1,Yes
149,149,0238-WHBIQ,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.7,6339.3,Male,0,1,1,72,1,Yes
150,150,0239-OXEXL,0,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,84.25,3847.6,Female,0,0,0,46,1,Yes
151,151,0244-LGNFY,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,6733,Female,0,1,1,72,1,Yes
152,152,0247-SLUJI,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,19.7,Male,0,1,1,1,1,No
153,153,0248-IPDFW,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.1,50.1,Female,0,0,0,1,1,Yes
154,154,0248-PGHBZ,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,6140.85,Female,1,0,0,67,1,No
155,155,0253-ZTEOB,0,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,79.65,3870.3,Female,0,1,1,48,1,Yes
156,156,0254-FNMCI,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,7624.2,Female,0,0,0,72,1,No
157,157,0254-KCJGT,0,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),81.4,4354.45,Male,0,1,0,52,1,Yes
158,158,0254-WWRKD,0,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),50.55,3431.75,Female,0,1,1,67,1,No
159,159,0256-LTHVJ,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,Female,0,1,1,28,1,No
160,160,0257-KXZGU,0,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,Female,0,1,1,32,1,Yes
161,161,0257-ZESQC,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,Female,1,1,0,27,1,No
162,162,0258-NOKBL,0,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,90.4,268.45,Male,0,0,0,3,1,No
163,163,0259-GBZSH,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,Male,0,0,0,2,1,Yes
164,164,0260-ZDLGK,1,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,72.9,651.4,Female,0,0,1,9,1,No
165,165,0263-FJTQO,0,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),70.5,3486.65,Male,0,1,1,50,1,Yes
166,166,0264-CNITK,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,1389.6,Female,0,1,1,71,1,No
167,167,0265-EDXBD,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,Male,1,1,0,32,1,Yes
168,168,0265-PSUAE,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,Female,0,1,1,16,1,No
169,169,0266-CLZKZ,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.65,6717.9,Female,0,1,1,67,1,Yes
170,170,0266-GMEAO,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.3,8058.55,Male,0,1,1,72,1,Yes
